17:10:43.462824 IP 192.168.5.130.netbios-dgm > 192.168.5.255.netbios-dgm: NBT UDP PACKET(138)
17:10:44.838467 ARP, Request who-has 192.168.5.2 tell 192.168.5.130, length 46
17:10:44.838863 ARP, Reply 192.168.5.2 is-at 00:50:56:ff:2b:f4 (oui Unknown), length 46
17:10:44.839353 IP 192.168.5.130.netbios-ns > 192.168.5.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
17:10:46.336473 IP 192.168.5.130.netbios-ns > 192.168.5.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
17:10:47.836071 IP 192.168.5.130.netbios-ns > 192.168.5.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
17:10:53.131310 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:10:53.131804 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:10:53.333423 IP 192.168.5.129.55261 > 192.168.5.2.domain: 14820+ PTR? 130.5.168.192.in-addr.arpa. (44)
17:10:53.336737 IP 192.168.5.2.domain > 192.168.5.129.55261: 14820 NXDomain 0/0/0 (44)
17:10:53.338470 IP 192.168.5.129.55736 > 192.168.5.130.http-alt: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.338606 IP 192.168.5.129.55736 > 192.168.5.130.3389: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.338623 IP 192.168.5.129.55736 > 192.168.5.130.pop3: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.338708 IP 192.168.5.129.55736 > 192.168.5.130.telnet: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.338809 IP 192.168.5.129.55736 > 192.168.5.130.https: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.338962 IP 192.168.5.129.55736 > 192.168.5.130.ftp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.339069 IP 192.168.5.129.55736 > 192.168.5.130.8888: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.339095 IP 192.168.5.129.55736 > 192.168.5.130.smux: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.339156 IP 192.168.5.129.55736 > 192.168.5.130.imaps: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.339221 IP 192.168.5.129.55736 > 192.168.5.130.ssh: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:53.340002 IP 192.168.5.130.http-alt > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.340165 IP 192.168.5.130.3389 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.340567 IP 192.168.5.130.pop3 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.340586 IP 192.168.5.130.telnet > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.340859 IP 192.168.5.130.https > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.340996 IP 192.168.5.130.ftp > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.341335 IP 192.168.5.130.8888 > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.341348 IP 192.168.5.130.smux > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.341600 IP 192.168.5.130.imaps > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:53.341767 IP 192.168.5.130.ssh > 192.168.5.129.55736: Flags [R.], seq 0, ack 628363850, win 0, length 0
17:10:54.441708 IP 192.168.5.129.55736 > 192.168.5.130.smtp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.441998 IP 192.168.5.129.55736 > 192.168.5.130.rtsp: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.442871 IP 192.168.5.129.55736 > 192.168.5.130.5900: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.443027 IP 192.168.5.129.55736 > 192.168.5.130.imap2: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.443286 IP 192.168.5.129.55736 > 192.168.5.130.netbios-ssn: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.443439 IP 192.168.5.129.55736 > 192.168.5.130.loc-srv: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.443599 IP 192.168.5.129.55736 > 192.168.5.130.http: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.443730 IP 192.168.5.129.55736 > 192.168.5.130.microsoft-ds: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444020 IP 192.168.5.129.55736 > 192.168.5.130.domain: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444180 IP 192.168.5.129.55736 > 192.168.5.130.auth: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444319 IP 192.168.5.129.55736 > 192.168.5.130.sunrpc: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444477 IP 192.168.5.129.55736 > 192.168.5.130.1723: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
17:10:54.444618 IP 192.168.5.129.55736 > 192.168.5.130.pop3s: Flags [S], seq 628363849, win 1024, options [mss 1460], length 0
