16:44:07.923593 IP 192.168.139.2 > 192.168.139.144: ICMP host 192.168.139.2 unreachable, length 104
16:44:09.422580 IP 192.168.139.2 > 192.168.139.144: ICMP host 192.168.139.2 unreachable, length 104
16:44:13.507193 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:44:13.507596 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:44:13.710874 IP 192.168.139.142.50272 > 192.168.139.2.domain: 36189+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:44:13.718894 IP 192.168.139.2.domain > 192.168.139.142.50272: 36189 NXDomain 0/1/0 (114)
16:44:13.721036 IP 192.168.139.142.40731 > 192.168.139.144.netbios-ssn: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.721242 IP 192.168.139.142.40731 > 192.168.139.144.pop3s: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.721261 IP 192.168.139.142.40731 > 192.168.139.144.8888: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.721400 IP 192.168.139.142.40731 > 192.168.139.144.3389: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.721494 IP 192.168.139.142.40731 > 192.168.139.144.domain: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.721582 IP 192.168.139.142.40731 > 192.168.139.144.smtp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.722111 IP 192.168.139.142.40731 > 192.168.139.144.imaps: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.722177 IP 192.168.139.142.40731 > 192.168.139.144.rtsp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.722232 IP 192.168.139.142.40731 > 192.168.139.144.1025: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.722286 IP 192.168.139.142.40731 > 192.168.139.144.http: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:13.722521 IP 192.168.139.144.netbios-ssn > 192.168.139.142.40731: Flags [S.], seq 558045155, ack 2714494545, win 64240, options [mss 1460], length 0
16:44:13.722895 IP 192.168.139.144.imaps > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.723421 IP 192.168.139.144.rtsp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.723615 IP 192.168.139.144.1025 > 192.168.139.142.40731: Flags [S.], seq 558093146, ack 2714494545, win 64240, options [mss 1460], length 0
16:44:13.723757 IP 192.168.139.144.http > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.723909 IP 192.168.139.144.pop3s > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.724058 IP 192.168.139.144.8888 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.724148 IP 192.168.139.144.3389 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.724227 IP 192.168.139.144.domain > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.724306 IP 192.168.139.144.smtp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:13.724444 IP 192.168.139.142.40731 > 192.168.139.144.netbios-ssn: Flags [R], seq 2714494545, win 0, length 0
16:44:13.724539 IP 192.168.139.142.40731 > 192.168.139.144.1025: Flags [R], seq 2714494545, win 0, length 0
16:44:14.822573 IP 192.168.139.142.40731 > 192.168.139.144.submission: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822649 IP 192.168.139.142.40731 > 192.168.139.144.ftp: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822690 IP 192.168.139.142.40731 > 192.168.139.144.http-alt: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822730 IP 192.168.139.142.40731 > 192.168.139.144.sunrpc: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822753 IP 192.168.139.142.40731 > 192.168.139.144.https: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822789 IP 192.168.139.142.40731 > 192.168.139.144.mysql: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822828 IP 192.168.139.142.40731 > 192.168.139.144.auth: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822864 IP 192.168.139.142.40731 > 192.168.139.144.smux: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822902 IP 192.168.139.142.40731 > 192.168.139.144.ssh: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822924 IP 192.168.139.142.40731 > 192.168.139.144.5900: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822958 IP 192.168.139.142.40731 > 192.168.139.144.imap2: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.822997 IP 192.168.139.142.40731 > 192.168.139.144.microsoft-ds: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823033 IP 192.168.139.142.40731 > 192.168.139.144.loc-srv: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823096 IP 192.168.139.144.submission > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823139 IP 192.168.139.144.ftp > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823176 IP 192.168.139.144.http-alt > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823210 IP 192.168.139.144.sunrpc > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823247 IP 192.168.139.144.https > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823269 IP 192.168.139.144.mysql > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823304 IP 192.168.139.144.auth > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823340 IP 192.168.139.144.smux > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823363 IP 192.168.139.144.ssh > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823384 IP 192.168.139.144.5900 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823405 IP 192.168.139.144.imap2 > 192.168.139.142.40731: Flags [R.], seq 0, ack 2714494545, win 0, length 0
16:44:14.823440 IP 192.168.139.144.microsoft-ds > 192.168.139.142.40731: Flags [S.], seq 558381112, ack 2714494545, win 64240, options [mss 1460], length 0
16:44:14.823479 IP 192.168.139.142.40731 > 192.168.139.144.telnet: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823505 IP 192.168.139.142.40731 > 192.168.139.144.1723: Flags [S], seq 2714494544, win 1024, options [mss 1460], length 0
16:44:14.823540 IP 192.168.139.142.40731 > 192.168.139.144.microsoft-ds: Flags [R], seq 2714494545, win 0, length 0
