16:46:54.365484 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:58.428201 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:46:58.608923 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.367769 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.928849 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:00.365669 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:01.342994 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:47:01.343423 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:47:01.426673 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:01.545375 IP 192.168.139.142.48732 > 192.168.139.2.domain: 52543+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:47:01.550107 IP 192.168.139.2.domain > 192.168.139.142.48732: 52543 NXDomain 0/1/0 (114)
16:47:01.552079 IP 192.168.139.142.45297 > 192.168.139.144.microsoft-ds: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.552296 IP 192.168.139.142.45297 > 192.168.139.144.netbios-ssn: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.552446 IP 192.168.139.142.45297 > 192.168.139.144.smux: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.552925 IP 192.168.139.142.45297 > 192.168.139.144.1025: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.552953 IP 192.168.139.142.45297 > 192.168.139.144.loc-srv: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.553041 IP 192.168.139.142.45297 > 192.168.139.144.5900: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.553294 IP 192.168.139.142.45297 > 192.168.139.144.mysql: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.553428 IP 192.168.139.142.45297 > 192.168.139.144.rtsp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.553558 IP 192.168.139.142.45297 > 192.168.139.144.pop3s: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.553783 IP 192.168.139.142.45297 > 192.168.139.144.3389: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:01.553990 IP 192.168.139.144.microsoft-ds > 192.168.139.142.45297: Flags [S.], seq 596686566, ack 1225517074, win 64240, options [mss 1460], length 0
