16:40:31.577859 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:32.365027 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:33.364613 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:34.578675 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:35.367607 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:36.168576 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:40:36.168966 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:40:36.364178 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:36.372923 IP 192.168.139.142.47640 > 192.168.139.2.domain: 61948+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:40:36.381184 IP 192.168.139.2.domain > 192.168.139.142.47640: 61948 NXDomain 0/1/0 (114)
16:40:36.383426 IP 192.168.139.142.48708 > 192.168.139.144.8888: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.383531 IP 192.168.139.142.48708 > 192.168.139.144.http: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.383546 IP 192.168.139.142.48708 > 192.168.139.144.smux: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.383557 IP 192.168.139.142.48708 > 192.168.139.144.https: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.383740 IP 192.168.139.142.48708 > 192.168.139.144.imaps: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.383762 IP 192.168.139.142.48708 > 192.168.139.144.loc-srv: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.383933 IP 192.168.139.142.48708 > 192.168.139.144.3389: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.383953 IP 192.168.139.142.48708 > 192.168.139.144.pop3: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.384037 IP 192.168.139.142.48708 > 192.168.139.144.1720: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.384164 IP 192.168.139.142.48708 > 192.168.139.144.5900: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:36.384936 IP 192.168.139.144.8888 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:36.385106 IP 192.168.139.144.http > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:36.385338 IP 192.168.139.144.smux > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:36.385497 IP 192.168.139.144.https > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:36.385625 IP 192.168.139.144.imaps > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
