16:42:33.364744 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:34.584768 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:35.367527 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:36.364221 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:37.700042 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:42:37.700468 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:42:37.901792 IP 192.168.139.142.56367 > 192.168.139.2.domain: 51859+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:42:37.913834 IP 192.168.139.2.domain > 192.168.139.142.56367: 51859 NXDomain 0/1/0 (114)
16:42:37.915952 IP 192.168.139.142.56447 > 192.168.139.144.imap2: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.915999 IP 192.168.139.142.56447 > 192.168.139.144.5900: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916202 IP 192.168.139.142.56447 > 192.168.139.144.pop3: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916221 IP 192.168.139.142.56447 > 192.168.139.144.https: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916350 IP 192.168.139.142.56447 > 192.168.139.144.telnet: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916366 IP 192.168.139.142.56447 > 192.168.139.144.smux: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916663 IP 192.168.139.142.56447 > 192.168.139.144.sunrpc: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916685 IP 192.168.139.142.56447 > 192.168.139.144.3389: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916692 IP 192.168.139.142.56447 > 192.168.139.144.1723: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.916786 IP 192.168.139.142.56447 > 192.168.139.144.loc-srv: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:37.917698 IP 192.168.139.144.imap2 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.917832 IP 192.168.139.144.5900 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.918034 IP 192.168.139.144.pop3 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.918171 IP 192.168.139.144.https > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.918300 IP 192.168.139.144.telnet > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.918461 IP 192.168.139.144.smux > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.918865 IP 192.168.139.144.sunrpc > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.918988 IP 192.168.139.144.3389 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.919077 IP 192.168.139.144.1723 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:37.919212 IP 192.168.139.144.loc-srv > 192.168.139.142.56447: Flags [S.], seq 535597848, ack 552129162, win 64240, options [mss 1460], length 0
16:42:37.919549 IP 192.168.139.142.56447 > 192.168.139.144.loc-srv: Flags [R], seq 552129162, win 0, length 0
16:42:39.017926 IP 192.168.139.142.56448 > 192.168.139.144.smux: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.018435 IP 192.168.139.144.smux > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.019354 IP 192.168.139.142.56448 > 192.168.139.144.telnet: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.019562 IP 192.168.139.142.56448 > 192.168.139.144.https: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.019713 IP 192.168.139.142.56448 > 192.168.139.144.pop3: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.019855 IP 192.168.139.142.56448 > 192.168.139.144.5900: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:39.019940 IP 192.168.139.142.56447 > 192.168.139.144.http-alt: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.020112 IP 192.168.139.142.56447 > 192.168.139.144.8888: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.020249 IP 192.168.139.142.56447 > 192.168.139.144.microsoft-ds: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.020433 IP 192.168.139.142.56447 > 192.168.139.144.256: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.020563 IP 192.168.139.142.56447 > 192.168.139.144.ssh: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.020707 IP 192.168.139.142.56447 > 192.168.139.144.ftp: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.020847 IP 192.168.139.142.56447 > 192.168.139.144.imaps: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.020974 IP 192.168.139.142.56447 > 192.168.139.144.http: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.021127 IP 192.168.139.142.56447 > 192.168.139.144.submission: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.021207 IP 192.168.139.142.56447 > 192.168.139.144.smtp: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.021285 IP 192.168.139.142.56447 > 192.168.139.144.1025: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.021361 IP 192.168.139.142.56447 > 192.168.139.144.netbios-ssn: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:39.021555 IP 192.168.139.144.telnet > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.021641 IP 192.168.139.144.https > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.021782 IP 192.168.139.144.pop3 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.021918 IP 192.168.139.144.5900 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:39.022055 IP 192.168.139.144.http-alt > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.022367 IP 192.168.139.144.8888 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.022464 IP 192.168.139.144.microsoft-ds > 192.168.139.142.56447: Flags [S.], seq 535905321, ack 552129162, win 64240, options [mss 1460], length 0
16:42:39.022601 IP 192.168.139.144.256 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:39.022738 IP 192.168.139.144.ssh > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
