17:12:13.278969 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:12:13.279460 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:12:13.297686 IP 192.168.5.129.bootpc > 192.168.5.254.bootps: BOOTP/DHCP, Request from 00:0c:29:98:d9:58 (oui Unknown), length 300
17:12:13.298074 IP 192.168.5.254.bootps > 192.168.5.129.bootpc: BOOTP/DHCP, Reply, length 300
17:12:13.462692 IP 192.168.5.130.netbios-dgm > 192.168.5.255.netbios-dgm: NBT UDP PACKET(138)
17:12:13.481886 IP 192.168.5.129.33718 > 192.168.5.2.domain: 23569+ PTR? 130.5.168.192.in-addr.arpa. (44)
17:12:13.484709 IP 192.168.5.2.domain > 192.168.5.129.33718: 23569 NXDomain 0/0/0 (44)
17:12:13.486734 IP 192.168.5.129.56528 > 192.168.5.130.sunrpc: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.486789 IP 192.168.5.129.56528 > 192.168.5.130.http-alt: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.486806 IP 192.168.5.129.56528 > 192.168.5.130.telnet: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.486881 IP 192.168.5.129.56528 > 192.168.5.130.3389: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.487055 IP 192.168.5.129.56528 > 192.168.5.130.256: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.487074 IP 192.168.5.129.56528 > 192.168.5.130.1025: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.487233 IP 192.168.5.129.56528 > 192.168.5.130.ftp: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.487255 IP 192.168.5.129.56528 > 192.168.5.130.https: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.487415 IP 192.168.5.129.56528 > 192.168.5.130.1720: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.487435 IP 192.168.5.129.56528 > 192.168.5.130.smtp: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:13.488165 IP 192.168.5.130.sunrpc > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.488346 IP 192.168.5.130.http-alt > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.488628 IP 192.168.5.130.telnet > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.488773 IP 192.168.5.130.3389 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.489099 IP 192.168.5.130.256 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.489243 IP 192.168.5.130.1025 > 192.168.5.129.56528: Flags [S.], seq 2847838904, ack 3953473804, win 17520, options [mss 1460], length 0
17:12:13.489443 IP 192.168.5.130.ftp > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.489460 IP 192.168.5.130.https > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.489748 IP 192.168.5.130.1720 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.489831 IP 192.168.5.130.smtp > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:13.490830 IP 192.168.5.129.56528 > 192.168.5.130.1025: Flags [R], seq 3953473804, win 0, length 0
17:12:14.589993 IP 192.168.5.129.56529 > 192.168.5.130.smtp: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.590236 IP 192.168.5.129.56529 > 192.168.5.130.1720: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.590497 IP 192.168.5.129.56529 > 192.168.5.130.https: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.590676 IP 192.168.5.130.smtp > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.590764 IP 192.168.5.130.1720 > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.590849 IP 192.168.5.129.56529 > 192.168.5.130.ftp: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.591116 IP 192.168.5.130.https > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.591280 IP 192.168.5.130.ftp > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.591395 IP 192.168.5.129.56529 > 192.168.5.130.1025: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.591532 IP 192.168.5.129.56529 > 192.168.5.130.256: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.591914 IP 192.168.5.130.1025 > 192.168.5.129.56529: Flags [S.], seq 2848141320, ack 3953408267, win 17520, options [mss 1460], length 0
17:12:14.592041 IP 192.168.5.129.56529 > 192.168.5.130.3389: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.592235 IP 192.168.5.129.56529 > 192.168.5.130.telnet: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.592344 IP 192.168.5.129.56529 > 192.168.5.130.http-alt: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.592467 IP 192.168.5.129.56529 > 192.168.5.130.1025: Flags [R], seq 3953408267, win 0, length 0
17:12:14.592560 IP 192.168.5.129.56528 > 192.168.5.130.8888: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.592696 IP 192.168.5.130.256 > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.592801 IP 192.168.5.130.3389 > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.592887 IP 192.168.5.130.telnet > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.592948 IP 192.168.5.130.http-alt > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.593055 IP 192.168.5.129.56528 > 192.168.5.130.ssh: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.593223 IP 192.168.5.130.8888 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.593340 IP 192.168.5.129.56528 > 192.168.5.130.rtsp: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.593501 IP 192.168.5.130.ssh > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.593658 IP 192.168.5.129.56528 > 192.168.5.130.mysql: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.593925 IP 192.168.5.130.rtsp > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.594063 IP 192.168.5.129.56528 > 192.168.5.130.auth: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.594220 IP 192.168.5.130.mysql > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.594477 IP 192.168.5.129.56528 > 192.168.5.130.http: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.594593 IP 192.168.5.129.56528 > 192.168.5.130.loc-srv: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.594622 IP 192.168.5.130.auth > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.594651 IP 192.168.5.129.56528 > 192.168.5.130.pop3: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.594683 IP 192.168.5.130.http > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.594785 IP 192.168.5.130.loc-srv > 192.168.5.129.56528: Flags [S.], seq 2848174728, ack 3953473804, win 17520, options [mss 1460], length 0
17:12:14.594818 IP 192.168.5.129.56528 > 192.168.5.130.netbios-ssn: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.594863 IP 192.168.5.129.56528 > 192.168.5.130.1723: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.594887 IP 192.168.5.129.56528 > 192.168.5.130.loc-srv: Flags [R], seq 3953473804, win 0, length 0
17:12:14.594912 IP 192.168.5.129.56528 > 192.168.5.130.pop3s: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.594947 IP 192.168.5.130.pop3 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.594976 IP 192.168.5.130.netbios-ssn > 192.168.5.129.56528: Flags [S.], seq 2848229319, ack 3953473804, win 17520, options [mss 1460], length 0
17:12:14.595003 IP 192.168.5.130.1723 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.595038 IP 192.168.5.129.56528 > 192.168.5.130.5900: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.595077 IP 192.168.5.130.pop3s > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.595170 IP 192.168.5.130.5900 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.595202 IP 192.168.5.129.56528 > 192.168.5.130.netbios-ssn: Flags [R], seq 3953473804, win 0, length 0
17:12:14.597710 IP 192.168.5.129.56528 > 192.168.5.130.imaps: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.597781 IP 192.168.5.129.56528 > 192.168.5.130.smux: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.597822 IP 192.168.5.129.56528 > 192.168.5.130.submission: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.597862 IP 192.168.5.129.56528 > 192.168.5.130.imap2: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.597901 IP 192.168.5.129.56528 > 192.168.5.130.domain: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.597939 IP 192.168.5.129.56528 > 192.168.5.130.microsoft-ds: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.598001 IP 192.168.5.130.imaps > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598041 IP 192.168.5.130.smux > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598120 IP 192.168.5.130.submission > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598196 IP 192.168.5.129.56528 > 192.168.5.130.722: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.598244 IP 192.168.5.130.imap2 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598294 IP 192.168.5.130.domain > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598418 IP 192.168.5.130.microsoft-ds > 192.168.5.129.56528: Flags [S.], seq 2848275559, ack 3953473804, win 17520, options [mss 1460], length 0
17:12:14.598470 IP 192.168.5.129.56528 > 192.168.5.130.52822: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.598496 IP 192.168.5.130.722 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598593 IP 192.168.5.130.52822 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598627 IP 192.168.5.129.56528 > 192.168.5.130.microsoft-ds: Flags [R], seq 3953473804, win 0, length 0
17:12:14.598653 IP 192.168.5.129.56528 > 192.168.5.130.nntp: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.598729 IP 192.168.5.129.56528 > 192.168.5.130.41511: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.598759 IP 192.168.5.129.56528 > 192.168.5.130.4: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.598790 IP 192.168.5.130.nntp > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.598820 IP 192.168.5.129.56528 > 192.168.5.130.11967: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.598876 IP 192.168.5.130.41511 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
